name,commit,solver,CVE,NDeps,Status,Time
copy-and-watch,1d7b553,maxnpm_cve_oldness,,,missing,
copy-and-watch,1d7b553,maxnpm_cve_oldness_pip_else_npm,,,missing,
CyberChef,7061c05,vanilla,101.85,144.0,success,
CyberChef,7061c05,audit fix,101.85,144.0,success,
CyberChef,7061c05,audit fix force,6.5,144.0,success,
CyberChef,7061c05,maxnpm_cve_oldness,,,missing,
CyberChef,7061c05,maxnpm_cve_oldness_pip_else_npm,,,missing,
broccoli-postcss-single,c66c741,vanilla,20.7,44.0,success,
broccoli-postcss-single,c66c741,audit fix,20.7,44.0,success,
broccoli-postcss-single,c66c741,audit fix force,0.0,37.0,success,
broccoli-postcss-single,c66c741,maxnpm_cve_oldness,20.7,42.0,success,
broccoli-postcss-single,c66c741,maxnpm_cve_oldness_pip_else_npm,20.7,42.0,success,
appium-android-driver,0a28f60,vanilla,101.55,435.0,success,
appium-android-driver,0a28f60,audit fix,101.55,435.0,success,
appium-android-driver,0a28f60,audit fix force,23.5,472.0,success,
appium-android-driver,0a28f60,maxnpm_cve_oldness,,,missing,
appium-android-driver,0a28f60,maxnpm_cve_oldness_pip_else_npm,,,missing,
webpack,87f82e5,vanilla,46.6,65.0,success,
webpack,87f82e5,audit fix,46.6,65.0,success,
webpack,87f82e5,audit fix force,29.3,65.0,success,
webpack,87f82e5,maxnpm_cve_oldness,,,missing,
webpack,87f82e5,maxnpm_cve_oldness_pip_else_npm,,,missing,
bootprint-monorepo,42f7199,vanilla,51.900000000000006,47.0,success,
bootprint-monorepo,42f7199,audit fix,51.900000000000006,47.0,success,
bootprint-monorepo,42f7199,audit fix force,0.0,34.0,success,
bootprint-monorepo,42f7199,maxnpm_cve_oldness,44.400000000000006,46.0,success,
bootprint-monorepo,42f7199,maxnpm_cve_oldness_pip_else_npm,44.400000000000006,44.0,success,
elliptical,89bc8ae,vanilla,0.0,4.0,success,
elliptical,89bc8ae,audit fix,0.0,4.0,success,
elliptical,89bc8ae,audit fix force,0.0,4.0,success,
elliptical,89bc8ae,maxnpm_cve_oldness,0.0,4.0,success,
elliptical,89bc8ae,maxnpm_cve_oldness_pip_else_npm,0.0,4.0,success,
ember-cli,6cce20e,vanilla,812.6500000000002,607.0,success,
ember-cli,6cce20e,audit fix,758.8000000000002,584.0,success,
ember-cli,6cce20e,audit fix force,89.2,933.0,success,
ember-cli,6cce20e,maxnpm_cve_oldness,,,missing,
ember-cli,6cce20e,maxnpm_cve_oldness_pip_else_npm,,,missing,
ember-cli,055cad6,vanilla,563.75,993.0,success,
ember-cli,055cad6,audit fix,563.75,993.0,success,
ember-cli,055cad6,audit fix force,563.75,993.0,success,
ember-cli,055cad6,maxnpm_cve_oldness,,,missing,
ember-cli,055cad6,maxnpm_cve_oldness_pip_else_npm,,,missing,
connect-modrewrite,d11af54,vanilla,7.5,1.0,success,
connect-modrewrite,d11af54,audit fix,7.5,1.0,success,
connect-modrewrite,d11af54,audit fix force,0.0,8.0,success,
