del,4.823753595352173
del,4.72313666343689
ripemd160,2.919755458831787
ripemd160,2.919555425643921
parse-json,3.9214909076690674
parse-json,3.8210737705230713
p-timeout,2.719792366027832
p-timeout,2.7202372550964355
external-editor,2.9198803901672363
external-editor,2.922405242919922
object.values,4.3237996101379395
object.values,4.322477579116821
path-to-regexp,2.7192630767822266
path-to-regexp,2.720946788787842
extend,2.722242832183838
extend,2.671581506729126
@webassemblyjs_leb128,2.8200626373291016
@webassemblyjs_leb128,2.81964373588562
spdx-exceptions,2.7194833755493164
spdx-exceptions,2.7197084426879883
@babel_plugin-transform-sticky-regex,2.8693432807922363
@babel_plugin-transform-sticky-regex,2.820579767227173
istanbul-lib-source-maps,2.9714770317077637
istanbul-lib-source-maps,2.9197702407836914
utils-merge,2.721848487854004
utils-merge,2.7201268672943115
public-encrypt,8.580287456512451
public-encrypt,9.180509567260742
posix-character-classes,2.719395160675049
posix-character-classes,2.7195992469787598
randomfill,2.87003493309021
randomfill,2.820295810699463
object.pick,2.8197875022888184
object.pick,2.76998233795166
@babel_helper-module-transforms,4.474221229553223
@babel_helper-module-transforms,4.372995615005493
@babel_plugin-syntax-export-namespace-from,2.819084644317627
@babel_plugin-syntax-export-namespace-from,2.8214480876922607
object-visit,2.819148540496826
object-visit,2.8192250728607178
regjsgen,2.769522190093994
regjsgen,2.72041916847229
widest-line,3.019444704055786
widest-line,2.969453811645508
getpass,2.8192217350006104
getpass,2.7692863941192627
loader-utils,3.019489288330078
loader-utils,2.923164129257202
jest-each,39.38001775741577
jest-each,54.051918029785156
union-value,2.9717795848846436
union-value,2.869349241256714
css-loader,3.622544765472412
css-loader,3.621464967727661
json-schema-traverse,2.7196171283721924
json-schema-traverse,2.8196046352386475
path-type,2.771646499633789
path-type,2.771378517150879
htmlparser2,3.269630193710327
htmlparser2,3.169750452041626
opn,2.8195488452911377
opn,2.8204894065856934
lodash.isplainobject,2.768892765045166
lodash.isplainobject,2.720649003982544
dot-prop,2.8697597980499268
dot-prop,2.821223497390747
lowercase-keys,2.7192564010620117
lowercase-keys,2.7196826934814453
quick-lru,2.719243288040161
quick-lru,2.719766616821289
read-pkg,5.273210287094116
read-pkg,5.773656129837036
https-proxy-agent,3.020139694213867
https-proxy-agent,3.0206496715545654
acorn-jsx,2.7701992988586426
acorn-jsx,2.7191972732543945
es-abstract,3.7710459232330322
es-abstract,3.7213869094848633
universalify,2.769164800643921
universalify,2.7696328163146973
domexception,2.819256544113159
domexception,2.819983720779419
entities,2.7196691036224365
entities,2.720574140548706
@babel_plugin-syntax-jsx,2.7698514461517334
@babel_plugin-syntax-jsx,2.7706186771392822
nanomatch,8.179405450820923
nanomatch,12.334998369216919
resolve-url,2.769515037536621
resolve-url,2.7196195125579834
asynckit,2.7192423343658447
asynckit,2.7193546295166016
jest-get-type,2.669269561767578
jest-get-type,2.719510078430176
assert,12.134434938430786
assert,11.133683681488037
to-arraybuffer,2.6716461181640625
to-arraybuffer,2.6698825359344482
lodash.clonedeep,2.721606969833374
lodash.clonedeep,2.669015645980835
whatwg-encoding,2.7690982818603516
whatwg-encoding,2.819852352142334
typedarray,2.769456624984741
typedarray,2.7195775508880615
nth-check,2.8199617862701416
nth-check,2.7699413299560547
pretty-format,19.093857526779175
pretty-format,23.503341913223267
whatwg-fetch,2.7190821170806885
whatwg-fetch,2.7195188999176025
@babel_plugin-transform-dotall-regex,3.5209577083587646
@babel_plugin-transform-dotall-regex,3.421111822128296
get-intrinsic,2.81984806060791
get-intrinsic,2.819650888442993
media-typer,2.6693131923675537
media-typer,2.719822406768799
core-js,2.6697194576263428
core-js,2.6697616577148438
css,2.922506093978882
css,2.920308828353882
jwa,2.8194358348846436
jwa,2.8710672855377197
lodash.debounce,2.719360589981079
lodash.debounce,2.6693592071533203
get-stdin,2.6691904067993164
get-stdin,2.7195093631744385
jest-diff,9.881553649902344
jest-diff,10.081958532333374
prompts,2.8203001022338867
prompts,2.820535659790039
run-parallel,2.7192142009735107
run-parallel,2.7198760509490967
cosmiconfig,4.221902847290039
cosmiconfig,4.17303729057312
faye-websocket,3.0698471069335938
faye-websocket,2.9690651893615723
postcss-modules-local-by-default,2.969092845916748
postcss-modules-local-by-default,2.9701459407806396
statuses,2.718874216079712
statuses,2.7186191082000732
raw-body,3.019569158554077
raw-body,3.0196492671966553
aproba,2.719358205795288
aproba,2.6698648929595947
@babel_plugin-syntax-class-properties,2.769493818283081
@babel_plugin-syntax-class-properties,2.8198697566986084
dashdash,2.7195067405700684
dashdash,2.819584608078003
inquirer,5.224707126617432
inquirer,5.1743998527526855
es5-ext,5.727582931518555
es5-ext,5.724294900894165
has-flag,2.719116687774658
has-flag,2.7224745750427246
@babel_helper-replace-supers,4.071614742279053
@babel_helper-replace-supers,4.121786832809448
cssesc,2.718689203262329
cssesc,2.719078779220581
@babel_core,7.327011823654175
@babel_core,7.428669691085815
babel-preset-jest,38.92777466773987
babel-preset-jest,36.27300977706909
watchpack,2.8688406944274902
watchpack,2.8200595378875732
yargs-parser,2.7199394702911377
yargs-parser,2.7189409732818604
q,2.8211097717285156
q,2.8201920986175537
snapdragon,4.474628686904907
snapdragon,4.472287178039551
atob,2.6692535877227783
atob,2.7203447818756104
node-modules-regexp,2.720047950744629
node-modules-regexp,2.7199432849884033
is-directory,2.7193589210510254
is-directory,2.6692991256713867
har-schema,2.719585657119751
har-schema,2.7201106548309326
lodash.merge,2.7196285724639893
lodash.merge,2.719741106033325
yargs,3.320598602294922
yargs,3.3207249641418457
is-promise,2.7192766666412354
